Sample,Date,Resp
26,2/1/1987,0.057
23,2/1/1987,0.085
25,2/1/1987,0.159
27,2/1/1987,0.266
24,2/1/1987,0.368
19,1/1/1987,0.074
20,1/1/1987,0.089
22,1/1/1987,0.117
18,1/1/1987,0.135
21,1/1/1987,0.287
29,3/1/1987,0.063
32,3/1/1987,0.064
31,3/1/1987,0.073
30,3/1/1987,0.074
28,3/1/1987,0.093
41,5/1/1987,0.092
40,5/1/1987,0.097
38,5/1/1987,0.178
42,5/1/1987,0.267
39,5/1/1987,0.302
35,4/1/1987,0.097
34,4/1/1987,0.105
36,4/1/1987,0.116
33,4/1/1987,0.176
37,4/1/1987,0.185
45,6/1/1987,0.043
47,6/1/1987,0.122
44,6/1/1987,0.175
43,6/1/1987,0.207
46,6/1/1987,0.523
